opposition,match_title,match_url,batting,bowling,format,date
"Chennai
                                                                Super Kings vs Royal Challengers Bengaluru",Chennai Super Kings vs Royal Challengers Bengaluru,/live-score/chennai-super-kings-vs-royal-challengers-bengaluru-match-8-indian-premier-league-2025-257222,31(30),DNB,T20s,28-Mar-2025
"Kolkata
                                                                Knight Riders vs Royal Challengers Bengaluru",Kolkata Knight Riders vs Royal Challengers Bengaluru,/live-score/kolkata-knight-riders-vs-royal-challengers-bengaluru-match-1-indian-premier-league-2025-253698,59*(36),DNB,T20s,22-Mar-2025
"India
                                                                vs New Zealand",India vs New Zealand,/live-score/india-vs-new-zealand-final-icc-champions-trophy-2025-255197,1(2),DNB,ODI,09-Mar-2025
"India
                                                                vs Australia",India vs Australia,/live-score/india-vs-australia-1st-semi-final-icc-champions-trophy-2025-255195,84(98),DNB,ODI,04-Mar-2025
"New
                                                                Zealand vs India",New Zealand vs India,/live-score/new-zealand-vs-india-match-12-icc-champions-trophy-2025-255194,11(14),DNB,ODI,02-Mar-2025
"Pakistan
                                                                vs India",Pakistan vs India,/live-score/pakistan-vs-india-match-5-icc-champions-trophy-2025-255187,100*(111),DNB,ODI,23-Feb-2025
"Bangladesh
                                                                vs India",Bangladesh vs India,/live-score/bangladesh-vs-india-match-2-icc-champions-trophy-2025-255184,22(38),DNB,ODI,20-Feb-2025
"India
                                                                vs England",India vs England,/live-score/india-vs-england-3rd-odi-england-tour-of-india-2025-247158,52(55),DNB,ODI,12-Feb-2025
"India
                                                                vs England",India vs England,/live-score/india-vs-england-2nd-odi-england-tour-of-india-2025-247157,5(8),DNB,ODI,09-Feb-2025
"Railways
                                                                vs Delhi",Railways vs Delhi,/live-score/railways-vs-delhi-match-126-ranji-trophy-2024-25-248256,6(15),DNB,First-class,30-Jan-2025
